Week,Python: (United States),SQL: (United States),R: (United States),C: (United States)
3/18/2018,84,56,29,23
3/25/2018,87,54,28,23
4/1/2018,85,57,32,21
4/8/2018,87,57,32,24
4/15/2018,88,57,31,24
4/22/2018,88,57,32,24
4/29/2018,83,56,31,22
5/6/2018,79,55,28,21
5/13/2018,77,55,26,20
5/20/2018,81,56,25,20
5/27/2018,75,49,25,19
6/3/2018,82,60,25,19
6/10/2018,87,58,25,17
6/17/2018,88,56,25,17
6/24/2018,84,56,25,18
7/1/2018,71,44,22,16
7/8/2018,87,57,26,17
7/15/2018,85,56,26,17
7/22/2018,83,58,26,17
7/29/2018,85,57,25,17
8/5/2018,82,54,24,16
8/12/2018,78,55,23,17
8/19/2018,80,56,24,18
8/26/2018,86,55,26,20
9/2/2018,78,45,27,22
9/9/2018,92,53,29,24
9/16/2018,95,55,32,28
9/23/2018,97,55,31,27
9/30/2018,93,54,32,26
10/7/2018,95,56,32,26
10/14/2018,100,57,32,25
10/21/2018,96,56,30,26
10/28/2018,96,56,31,25
11/4/2018,93,53,29,22
11/11/2018,95,52,31,23
11/18/2018,71,36,22,19
11/25/2018,92,51,30,22
12/2/2018,92,54,32,23
12/9/2018,83,53,29,21
12/16/2018,75,48,23,19
12/23/2018,48,24,16,13
12/30/2018,59,36,17,14
1/6/2019,79,53,23,18
1/13/2019,86,55,26,22
1/20/2019,90,51,29,23
1/27/2019,95,55,31,24
2/3/2019,94,57,31,26
2/10/2019,96,59,31,26
2/17/2019,97,53,30,23
2/24/2019,88,45,31,20
